pair,timestamp,score,gross_r,net_r,exit_reason
EUR/USD,2019-02-15T07:30:00+00:00,76.41,1.5,1.4799,take_profit
EUR/USD,2019-02-15T13:30:00+00:00,75.17,-1.0,-1.0089,stop_loss
USD/JPY,2019-02-19T19:45:00+00:00,75.08,1.5,1.4833,take_profit
EUR/USD,2019-02-20T09:30:00+00:00,76.72,-1.0,-1.0086,stop_loss
AUD/USD,2019-02-20T15:30:00+00:00,75.24,1.5,1.45,take_profit
USD/JPY,2019-02-20T19:00:00+00:00,75.07,-1.0,-1.0093,stop_loss
USD/JPY,2019-02-22T09:30:00+00:00,75.81,-1.0,-1.0149,stop_loss
EUR/USD,2019-02-25T00:15:00+00:00,75.63,0.2694,0.2582,time_exit
EUR/USD,2019-02-25T10:45:00+00:00,78.27,-1.0,-1.0042,stop_loss
USD/JPY,2019-02-25T15:30:00+00:00,76.8,1.5,1.4767,take_profit
EUR/USD,2019-02-25T19:30:00+00:00,76.28,0.0264,0.0151,time_exit
GBP/USD,2019-02-26T07:30:00+00:00,75.51,1.5,1.4703,take_profit
EUR/USD,2019-02-27T08:15:00+00:00,76.77,-1.0,-1.0149,stop_loss
GBP/USD,2019-02-27T08:15:00+00:00,75.21,0.532,0.5211,time_exit
AUD/USD,2019-03-01T02:30:00+00:00,75.64,-0.9286,-0.9561,time_exit
USD/JPY,2019-03-01T16:15:00+00:00,77.34,0.2187,0.2114,time_exit
USD/JPY,2019-03-04T01:30:00+00:00,81.37,-1.0,-1.0232,stop_loss
AUD/USD,2019-03-04T08:45:00+00:00,79.79,-0.2121,-0.2611,time_exit
USD/JPY,2019-03-04T14:45:00+00:00,75.98,-1.0,-1.0437,stop_loss
EUR/USD,2019-03-04T19:00:00+00:00,76.33,-1.0,-1.0157,stop_loss
USD/JPY,2019-03-05T00:45:00+00:00,77.51,0.9248,0.9092,time_exit
USD/JPY,2019-03-05T10:00:00+00:00,76.01,-1.0,-1.0232,stop_loss
USD/JPY,2019-03-05T15:00:00+00:00,77.16,1.5,1.4655,take_profit
EUR/USD,2019-03-08T11:15:00+00:00,75.11,-1.0,-1.0273,stop_loss
GBP/USD,2019-03-08T11:30:00+00:00,76.83,1.5,1.4744,take_profit
USD/JPY,2019-03-08T19:00:00+00:00,76.94,-0.3637,-0.377,time_exit
USD/JPY,2019-03-11T03:45:00+00:00,76.34,-1.0,-1.0232,stop_loss
USD/JPY,2019-03-11T07:45:00+00:00,75.26,-1.0,-1.0093,stop_loss
GBP/USD,2019-03-11T09:30:00+00:00,77.58,-1.0,-1.0202,stop_loss
USD/JPY,2019-03-11T13:30:00+00:00,80.67,-1.0,-1.0181,stop_loss
USD/JPY,2019-03-11T15:45:00+00:00,75.6,-1.0,-1.0132,stop_loss
EUR/USD,2019-03-15T00:15:00+00:00,68.71,1.5,1.464,take_profit
GBP/USD,2019-03-15T00:15:00+00:00,69.68,-1.0,-1.0514,stop_loss
USD/JPY,2019-03-15T00:15:00+00:00,76.34,-1.0,-1.0195,stop_loss
